Date,Post ID,Network,Post Type,Content Type,Profile,Link,Post,Linked Content,Impressions,Engagements,Engagement Rate (per Impression),Organic Impressions,Potential Reach,Reactions,Likes,Comments,Shares,Post Link Clicks,Other Post Clicks,Post Clicks (All),Other Engagements,Video Views
4/27/2022 12:02 PM,1519255540412698624,Twitter,Tweet,Photo,@explore_ai_acad,https://twitter.com/exp_datascience/status/1519255540412698624,"Wildcards are a handy feature in SQL as it allows you to search for data in your database without knowing the exact values.

Learn more from this tutorial - https://t.co/A0HlXHYoit.

#ExploreDataScience #DataAnalytics #DataScience #DataEngineering #SQL #UpSkill #Elearning #4IR https://t.co/ZW9ucmBO0e","https://www.digitalocean.com/community/tutorials/how-to-use-wildcards-in-sql, https://twitter.com/exp_datascience/status/1519255540412698624/photo/1",154,6,3.90%,154,"1,298",1,1,0,0,0,5,5,0,
4/28/2022 12:01 PM,1519617900079984640,Twitter,Tweet,Photo,@explore_ai_acad,https://twitter.com/exp_datascience/status/1519617900079984640,"SQL Joins are of vital importance when working with relational database systems. It is easy to understand how these joins work when you realise it is connected to set theory. 

#ExploreDataScience #DataAnalysis #DataScience #DataEngineering #SQL #Elearning #TechSkills #UpSkill https://t.co/btakgRmeBK",https://twitter.com/exp_datascience/status/1519617900079984640/photo/1,247,22,8.91%,247,"1,297",7,7,0,0,,15,15,0,
4/29/2022 12:01 PM,1519980271264747520,Twitter,Tweet,Photo,@explore_ai_acad,https://twitter.com/exp_datascience/status/1519980271264747520,"Analyst, scientist or engineer. Which career in data do you want to go for this year?

#ExploreDataScience #DataAnalyst #DataScientist #DataEngineer #DataCareers #TechSkills #UpSkill #Elearning #4IR https://t.co/OTD7BYdQY2",https://twitter.com/exp_datascience/status/1519980271264747520/photo/1,430,44,10.23%,430,"2,389",10,10,2,2,,30,30,0,
5/2/2022 12:01 PM,1521067423750922241,Twitter,Tweet,Video,@explore_ai_acad,https://twitter.com/exp_datascience/status/1521067423750922241,"Launch your EXPLORE journey 🚀  
Enrol today! 

#ExploreDataScience #DataAnalytics #DataScience #DataEngineering #TechSkills #UpSkill #Elearning #4IR https://t.co/nylhIyMWP8",https://twitter.com/exp_datascience/status/1521067423750922241/video/1,230,30,13.04%,230,"3,662",2,2,0,3,,25,25,0,41
5/3/2022 4:50 PM,1521502447553990657,Twitter,Tweet,Photo,@explore_ai_acad,https://twitter.com/exp_datascience/status/1521502447553990657,"At EXPLORE we're all about practising our skills in real-world scenarios. In this round of admissions, our case study is covering the United Nations Sustainable Development Goal 1: End poverty in all its forms everywhere.

#PursuitOfBetterness #ExploreDataScience #4IR #UN #SDGs https://t.co/n7D17cM1uH","https://twitter.com/exp_datascience/status/1521502447553990657/photo/1, https://twitter.com/exp_datascience/status/1521502447553990657/photo/1, https://twitter.com/exp_datascience/status/1521502447553990657/photo/1, https://twitter.com/exp_datascience/status/1521502447553990657/photo/1",,,,,"1,306",,,,,,,,,
5/3/2022 5:05 PM,1521506302530314249,Twitter,Tweet,Photo,@explore_ai_acad,https://twitter.com/exp_datascience/status/1521506302530314249,"At EXPLORE, we're all about practising our skills in real-world scenarios. In this round of admissions, our case study covers the United Nations Sustainable Development Goal 1: End poverty in all its forms everywhere.

#PursuitOfBetterness #ExploreDataScience #4IR #UN #SDGs https://t.co/EImST9FpDD","https://twitter.com/exp_datascience/status/1521506302530314249/photo/1, https://twitter.com/exp_datascience/status/1521506302530314249/photo/1, https://twitter.com/exp_datascience/status/1521506302530314249/photo/1, https://twitter.com/exp_datascience/status/1521506302530314249/photo/1",375,41,10.93%,375,"12,348",4,4,0,4,,33,33,0,
5/4/2022 2:44 PM,1521833056507682816,Twitter,Tweet,Photo,@explore_ai_acad,https://twitter.com/exp_datascience/status/1521833056507682816,"Why should we follow 'The Data Science Process'?

The data science process helps us systematically turn data into information, gain meaningful insights, and deploy useful models.

#ExploreDataScience #DataAnalytics #DataScience #DataEngineering #UpSkill #Elearning #4IR https://t.co/IicBBXzMPy",https://twitter.com/exp_datascience/status/1521833056507682816/photo/1,237,14,5.91%,237,"1,693",4,4,0,1,,9,9,0,
5/5/2022 12:01 PM,1522154596906553345,Twitter,Tweet,Photo,@explore_ai_acad,https://twitter.com/exp_datascience/status/1522154596906553345,"The first step in the data science process is finding suitable data sources. Depending on the project, this may be survey data, database or API queried data or existing open data sources.

Open data sources: https://t.co/wu4reQwn8j

#ExploreDataScience #DataAnalytics #DataScience https://t.co/pro7p2CJyB","https://www.freecodecamp.org/news/https-medium-freecodecamp-org-best-free-open-data-sources-anyone-can-use-a65b514b0f2d/, https://twitter.com/exp_datascience/status/1522154596906553345/photo/1",218,26,11.93%,218,"3,648",5,5,0,1,3,17,20,0,
5/6/2022 12:02 PM,1522517025804931073,Twitter,Tweet,Photo,@explore_ai_acad,https://twitter.com/exp_datascience/status/1522517025804931073,"One of the most time-consuming steps in the data science process is data cleaning. Most of us can agree that insights and analysis are only as good as the data it's based on.

#ExploreDataScience #Data #DataAnalytics #DataScience #DataEngineering #UpSkill #Elearning #4IR https://t.co/KUctJAZn5o",https://twitter.com/exp_datascience/status/1522517025804931073/photo/1,286,26,9.09%,286,"4,742",7,7,0,3,,16,16,0,
5/9/2022 10:32 AM,1523581707441508352,Twitter,Tweet,Photo,@explore_ai_acad,https://twitter.com/exp_datascience/status/1523581707441508352,"Exploratory Data Analysis (EDA) is the next step after collecting and cleaning the data. This step helps us to understand our data using graphical and non-graphical analysis.  What is the difference? Our next post will show you. 

#ExploreDataScience #DataAnalytics #DataScience https://t.co/VtE2BZtyQ5",https://twitter.com/exp_datascience/status/1523581707441508352/photo/1,"1,314",95,7.23%,"1,314","25,317",24,24,0,9,,62,62,0,
